ID	LON	LAT
504	46.2831	41.8296
505	46.2831	41.8296
506	46.2831	41.8296
507	46.2831	41.8296
508	46.2831	41.8296
509	46.2831	41.8296
510	43.4767	41.7942
511	44.8203	40.1408
512	45.3622	39.8692
513	45.3622	39.8692
514	45.3622	39.8692
515	45.3622	39.8692
516	45.3622	39.8692
517	-3.21833	55.9681
518	-5.1525	57.9
519	-3.96722	57.9672
520	18.336	62.8622
521	18.336	62.8622
522	18.381	62.8698
523	18.4473	62.8794
524	15.0689	57.7133
525	18.1512	57.3089
526	16.3675	57.2608
527	16.3675	57.2608
528	18.4045	62.9147
529	14.9986	57.6781
530	14.9986	57.6781
531	18.3175	63.016
532	13.3742	55.7488
533	14.2091	55.8106
534	14.2091	55.8106
535	14.2091	55.8106
536	18.1896	62.806
537	18.1896	62.806
538	15.8979	57.3263
539	15.8979	57.3263
540	15.8979	57.3263
541	16.4063	56.5804
542	15.0105	57.5089
543	13.9905	55.4234
544	14.8549	57.8765
545	13.399	55.7491
546	13.399	55.7491
547	13.399	55.7491
548	13.9519	56.047
549	14.302	56.0573
550	16.1494	57.2746
551	16.1494	57.2746
552	18.3837	57.7215
553	14.3997	55.9745
554	18.4055	62.8815
555	18.2763	62.9513
556	14.6806	56.1633
557	14.6806	56.1633
558	14.3398	55.5678
559	18.2109	57.2545
560	18.2109	57.2545
561	18.2109	57.2545
562	18.5162	57.8009
563	18.5162	57.8009
564	18.5162	57.8009
565	14.8043	57.6511
566	13.9707	56.0648
567	14.3336	55.5796
568	13.8484	55.4242
569	-3.21072	55.8877
570	-7.47	40.11
571	-7.5	38.45
572	-7.11	40.04
573	-7.4	39.29
574	-7.59	38.75
575	-8.02	38.53
576	-7.84	38.22
577	-4.07	38.77
578	-4.54	39.15
579	-6.89	39.72
580	-7.8	42.19
581	-0.36	39.88
582	2.64	41.94
583	-3.68	41.7
584	2.13	41.43
585	-5.27	36.52
586	-2.66	38.37
587	-0.56	42.52
588	0.54	42.49
589	2.39	41.54
590	-5.74	40.37
591	-1.37	40.94
592	-3.36	36.97
593	-4.32	38.25
594	-4.54	41.21
595	-4.64	42.23
596	-4.32	41.15
597	-4.65	40.05
598	3.19	42.31
599	-2	40.83
600	-6.66	38.07
601	-6.67	40.29
602	2.34	41.81
603	-5.42	38.26
604	-4.05	40.79
605	-5.39	36.77
606	-5.33	39.4
607	-5.78	39.4
608	-1.68	40.82
609	2.62	41.67
610	-5	40.4
611	-3.69	42.23
612	-5.37	43.05
613	-5.92	42.28
614	-4.5	40.87
615	-4.71	41.58
616	-3.16	38.86
617	-3.93	39.58
618	-4.34	39.66
619	0.7	42.46
620	-5.64	41.57
621	-4.38	38.06
622	-6.24	38.19
623	-5.04	40.71
624	2	41.67
625	-1.6	40.45
626	-1.23	42.97
627	1.3	42.34
628	-0.23	42.76
629	-6.45	42.87
630	-6.01	43.28
631	2.99	41.86
632	-2.7	38.6
633	-4.11	40.86
634	2.17	42.34
635	-6.7	42.13
636	-3.51	38.33
637	-5.12	42.84
638	-1.63	41.48
639	-3.38	37.09
640	-3.58	41.19
641	-7.39	43.4
642	-3.27	41.03
643	-1.88	41.5
644	0.6	42.11
645	-2.83	41.6
646	-5.49	43.37
647	-3.59	42.86
648	-5.44	42.1
649	-2.99	42.26
650	1.01	42.04
651	-5.5	40.89
652	-7.45	41.95
653	-2.53	42.31
654	-6.51	41.88
655	-5.77	42.8
656	-6.04	39.85
657	-1.88	41.85
658	-3.96	40.5
659	-7.45	31.48
660	52.15	53.05
661	59.44	51.37
662	59.98	51.41
663	51.96	53.04
664	51.9	53.04
665	51.94	53.04
666	61.41	55.36
667	52.16	52.99
668	51.96	53.06
669	59.44	51.37
670	79.48	51.84
671	79.48	51.82
672	79.46	51.84
673	85.27	52.52
674	79.37	53.6
675	82.59	51.31
676	82.59	51.36
677	82.55	51.32
678	82.54	51.33
679	82.18	51.35
680	82.16	51.34
681	80.79	51.65
682	80.82	51.67
683	80.83	51.63
684	81.31	54.13
685	80.6	51.87
686	80.82	51.75
687	80.85	51.77
688	80.86	51.73
689	80.31	53.82
690	80.06	51.87
691	80.06	51.9
692	80.06	51.84
693	79.31	52.1
694	18.72	45.07
695	18.7	45.17
696	16.77	40.37
697	16.28	39.48
698	16.17	39.13
699	14.87	40.68
700	16.13	38.44
701	16.47	38.92
702	17.31	40.64
703	16.04	38.45
704	16.34	38.97
705	14.18	41.18
706	14.57	40.84
707	16.21	39.58
708	14.09	41.33
709	11.28	46.36
710	11.28	46.36
711	11.28	46.36
712	11.28	46.36
713	11.28	46.37
714	11.28	46.37
715	11.28	46.37
716	11.28	46.37
717	11.28	46.37
718	11.28	46.37
719	11.29	46.37
720	11.29	46.37
721	11.29	46.37
722	11.29	46.34
723	11.29	46.34
724	11.29	46.34
725	11.29	46.34
726	11.29	46.34
727	11.29	46.34
728	11.29	46.34
729	11.29	46.34
730	11.29	46.34
731	11.29	46.34
732	11.29	46.34
733	11.29	46.34
734	11.29	46.34
735	11.29	46.34
736	11.29	46.34
737	11.29	46.34
738	11.29	46.34
739	23.94	41.62
740	23.85	41.57
741	23.14	41.37
742	23.1	42.32
743	25.91	43.7
744	23.39	41.53
745	23.39	41.53
746	23.33	41.5
747	24.18	41.64
748	24.84	41.57
749	25.35	41.62
750	23.13	41.85
751	23.13	41.85
752	23.1	42.32
753	23.1	42.32
754	25.61	42.49
755	25.75	41.84
756	24.98	41.54
757	25.47	41.66
758	24.75	41.55
759	25.69	41.83
760	25.68	41.77
761	25.33	42.72
762	24.41	41.71
763	23.67	41.42
764	23.08	37.6
765	22.04	37.07
766	21.62	37.63
767	18.9	48.46
768	18.9	48.46
769	18.94	48.47
770	18.9	48.46
771	18.96	48.47
772	18.94	48.47
773	18.94	48.47
774	25.17	44.69
775	22.62	45.95
776	25.42	45.57
777	22.33	46.01
778	23.16	45.84
779	25	45.14
780	27.59	47.16
781	70.05	41.45
782	21.22	44.38
783	21.71	44.23
784	22.29	43.54
785	21.37	44.66
786	22.56	44.56
787	21.08	44.3
788	21.08	44.3
789	88.4	47.75
790	49.47	37.47
791	35.7	33.92
792	14.98	37.69
793	35.84	34.1
794	74.16	42.26
795	9.16	48.57
796	8.99	48.55
797	9.01	48.53
798	9.11	48.56
799	8.85	48.41
800	9.22	48.59
801	8.79	48.41
802	8.79	48.43
803	9.17	48.57
804	8.84	48.41
805	8.78	48.5
806	8.79	48.43
807	9.11	48.52
808	9.09	48.53
809	9.05	48.52
810	8.8	48.5
811	9.02	48.54
812	9.01	48.54
813	9	48.5
814	9.01	48.53
815	8.96	48.39
816	9.18	48.58
817	9.2	48.6
818	9.09	48.54
819	9.16	48.57
820	9.08	48.52
821	9.11	48.5
822	8.84	48.41
823	9.02	48.54
824	9.01	48.54
825	8.85	48.39
826	9.01	48.54
827	9.01	48.54
828	9.11	48.51
829	8.76	48.42
830	8.87	48.45
831	9.09	48.54
832	9.16	48.56
833	9.22	48.6
834	9.08	48.52
835	9.05	48.52
836	9.07	48.53
837	9.05	48.52
838	9.03	48.52
839	8.77	48.4
840	8.79	48.42
841	9.02	48.54
842	9.06	48.55
843	-6.6	39.84
844	-3.03	42.35
845	-4.71	41
846	2.49	41.81
847	-4.02	40.52
848	-5.84	43.34
849	-4.91	42.91
850	-3.88	40.4
851	-6.71	42.49
852	0.69	42.78
853	-6.15	42.5
854	-3.28	36.97
855	-3.39	38.54
856	-3.69	40.54
857	-4.21	40.38
858	-3.9	40.51
859	-6.57	40.61
860	-1.32	41.25
861	-5.6	37.94
862	-5.38	41.83
863	-4.27	40.44
864	-1.43	41.13
865	-4.15	40.59
866	-3.92	40.53
867	0.19	42.27
868	-3.96	40.48
869	-3.02	42.31
870	-5.7	43.31
871	-5.77	40.11
872	-4.11	40.65
873	-0.7	42.86
874	-6.1	42.96
875	-3.75	40.46
876	-5.91	43.33
877	-5.88	43.36
878	-3.89	40.57
879	-4	40.51
880	-3.8	40.33
881	-3.8	40.98
882	-3.88	40.5
883	-2.62	42.24
884	-3.21	40.72
885	-3.67	40.45
886	2.69	41.76
887	-2.79	41.89
888	-3.22	40.94
889	2.37	41.78
890	-5.28	36.76
891	0.17	41.91
892	-3.99	40.75
893	-5.45	37.94
894	-3	42.34
895	-5.87	43.38
896	0.99	41.34
897	-5.6	43.02
898	-3.62	40.78
899	-1.12	37.6
900	-3.44	42.72
901	-5.32	40.46
902	-4.26	40.46
903	-2.56	42.1
904	-3.68	41.14
905	1.73	42.38
906	-4.77	40.4
907	-3.31	40.93
908	-5.07	43.16
909	2.92	41.93
910	-6.96	42.68
911	0.76	42.59
912	2.57	41.78
913	-5.63	40.95
914	-3.58	41.14
915	0.84	42.54
916	-6.01	37.38
917	-2.98	42.27
918	-3.24	40.71
919	-3.1	42.31
920	-3.31	40.95
921	-4.01	40.76
922	4.25	40
923	3.47	50.72
924	3.3	50.59
925	14.05	55.3833
926	3.52	50.68
927	4.28	47.16
928	4.55	46.67
929	5.33	47.58
930	3.94	47.45
931	4.34	46.69
932	5.21	47.43
933	14.05	55.3833
934	4.32	48.54
935	4.41	48.57
936	4.24	48.59
937	4.52	48.91
938	4.1	48.86
939	3.69	44.05
940	3.77	44.12
941	3.71	43.92
942	4.14	43.91
943	4.33	44.12
944	3.89	43.74
945	2.93	50.6
946	2.69	50.79
947	2.99	50.65
948	-7.45	31.48
949	-8.54	40.92
950	-1.34	41.32
951	-5.74	39.73
952	-6.36	36.83
953	-3.11	41.8
954	-6.34	38.92
955	-3.9	40.74
956	-3.54	41.05
957	-6.93	42.69
958	0.76	42.63
959	82.5667	51.3333
960	82.55	51.32
961	82.19	51.33
962	60.46	54.09
963	60.48	54.06
964	51.75	53.04
965	49.48	53.33
966	49.48	53.33
967	57.56	51.31
968	15.32	40.57
969	16.26	39.18
970	16.23	38.36
971	16.22	38.38
972	15.65	40.28
973	16.27	39.27
974	16.45	40.18
975	14.05	55.3833
976	11.24	46.37
977	11.33	46.51
978	11.33	46.51
979	11.28	46.36
980	11.29	46.34
981	11.29	46.34
982	11.17	46.25
983	10.82	46.63
984	11.23	46.36
985	16.17	38.62
986	16.24	38.76
987	16.47	39.01
988	12.87	41.62
989	12.87	41.62
990	23.65	41.43
991	25.2	41.59
992	23.5	41.43
993	43.4767	41.7942
994	46.2831	41.8296
995	46.3728	41.2381
996	42.2394	38.6425
997	9.4	48.14
998	8.8	48.52
999	9.16	48.56
1000	8.82	48.43
1001	9.06	48.53
